old_id,occ_id,l1_num,l2_num,l3_num,src_l1,occupation,name,file
N2317,OCC-02-00007,02,0208,020804,K,电力市场分析师,荀市岩,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-C-华中/25-34/N2317-荀市岩.md
N2318,OCC-02-00008,02,0208,020804,K,辅助服务交易员,胥辅朔,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-C-华中/35-44/N2318-胥辅朔.md
N2319,OCC-02-00009,02,0208,020804,K,绿电绿证交易专员,胥绿岚,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-E-华东/25-34/N2319-胥绿岚.md
N2320,OCC-02-00010,02,0208,020804,K,虚拟电厂产品经理,须品岩,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-N-华北/35-44/N2320-须品岩.md
N1028790,OCC-02-00011,02,0208,020804,G,绿色建材主任,栾涛强,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-N-华北/35-44/N1028790-栾涛强.md
N1028791,OCC-02-00012,02,0208,020804,G,节能产品主任,暴燕兰,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-E-华东/45-54/N1028791-暴燕兰.md
N1028792,OCC-02-00013,02,0208,020804,G,保温材料工程师,甘燕兰,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-S-华南/35-44/N1028792-甘燕兰.md
N1028793,OCC-02-00014,02,0208,020804,G,隔热材料主任,厉涛强,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-S-华南/35-44/N1028793-厉涛强.md
N1028794,OCC-02-00015,02,0208,020804,G,隔音材料设计师,戎燕兰,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-E-华东/35-44/N1028794-戎燕兰.md
N1028795,OCC-02-00016,02,0208,020804,G,防水材料主任,祖涛强,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-SW-西南/45-54/N1028795-祖涛强.md
N1028796,OCC-02-00017,02,0208,020804,G,防火材料工程师,武涛强,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-C-华中/35-44/N1028796-武涛强.md
N1028797,OCC-02-00018,02,0208,020804,G,绿色建材助理,符涛强,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-NW-西北/25-34/N1028797-符涛强.md
N1028798,OCC-02-00019,02,0208,020804,G,保温材料主任,刘涛强,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-E-华东/45-54/N1028798-刘涛强.md
N1028799,OCC-02-00020,02,0208,020804,G,隔热材料工程师,景涛强,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-绿色建材/CN-E-华东/35-44/N1028799-景涛强.md
N1031650,OCC-02-00021,02,0208,020804,H,机加工维修工程师,公伯靖,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-E-华东/35-44/N1031650-公伯靖.md
N1031651,OCC-02-00022,02,0208,020804,H,机加工维修工程师,公仲仉,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-E-华东/35-44/N1031651-公仲仉.md
N1031652,OCC-02-00023,02,0208,020804,H,机加工维修工程师,公户百,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-SW-西南/25-34/N1031652-公户百.md
N1031653,OCC-02-00024,02,0208,020804,H,机加工维修工程师,公广左,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-S-华南/25-34/N1031653-公广左.md
N1031654,OCC-02-00025,02,0208,020804,H,机加工维修工程师,公吕司,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-N-华北/35-44/N1031654-公吕司.md
N1031655,OCC-02-00026,02,0208,020804,H,机加工维修工程师,公丘宗,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-E-华东/35-44/N1031655-公丘宗.md
N1031656,OCC-02-00027,02,0208,020804,H,机加工维修工程师,公族钟,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-E-华东/25-34/N1031656-公族钟.md
N1031657,OCC-02-00028,02,0208,020804,H,机加工维修工程师,公宾乐,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-S-华南/45-54/N1031657-公宾乐.md
N1031658,OCC-02-00029,02,0208,020804,H,机加工维修工程师,公仪呼,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-E-华东/35-44/N1031658-公仪呼.md
N1031659,OCC-02-00030,02,0208,020804,H,机加工维修工程师,公石朗,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020804-设备维修/CN-E-华东/25-34/N1031659-公石朗.md
N1042800,OCC-02-00031,02,0208,020804,B,煤矿安全监察工程师,晁琛,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-E-华东/25-34/N1042800-晁琛.md
N1042801,OCC-02-00032,02,0208,020804,B,煤矿安全监察工程师,西康,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-N-华北/25-34/N1042801-西康.md
N1042802,OCC-02-00033,02,0208,020804,B,煤矿安全监察工程师,戈珩,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-E-华东/55-64/N1042802-戈珩.md
N1042803,OCC-02-00034,02,0208,020804,B,煤矿安全监察工程师,门晟,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-E-华东/55-64/N1042803-门晟.md
N1042804,OCC-02-00035,02,0208,020804,B,煤矿安全监察工程师,郁贞,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-N-华北/25-34/N1042804-郁贞.md
N1042805,OCC-02-00036,02,0208,020804,B,煤矿安全监察工程师,冶劭,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-E-华东/25-34/N1042805-冶劭.md
N1042806,OCC-02-00037,02,0208,020804,B,煤矿安全监察工程师,危饶,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-N-华北/25-34/N1042806-危饶.md
N1042807,OCC-02-00038,02,0208,020804,B,煤矿安全监察工程师,于屹,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-NE-东北/45-54/N1042807-于屹.md
N1042808,OCC-02-00039,02,0208,020804,B,煤矿安全监察工程师,巫焕,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-E-华东/45-54/N1042808-巫焕.md
N1042809,OCC-02-00040,02,0208,020804,B,煤矿安全监察工程师,东秉,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿山安全监察/CN-NW-西北/35-44/N1042809-东秉.md
N9004804,OCC-02-00041,02,0208,020804,B,矿冶安全评价师,石丽菲,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿冶安全评价师/CN-SW-西南/25-34/N9004804-石丽菲.md
N9005019,OCC-02-00042,02,0208,020804,B,矿冶安全评价师,谭国,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020804-矿冶安全评价师/CN-C-华中/25-34/N9005019-谭国.md
N9005807,OCC-02-00043,02,0208,020804,G,水泥工艺工程师,吴浩,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020804-水泥工艺工程师/CN-S-华南/45-54/N9005807-吴浩.md
N9004865,OCC-02-00001,02,0208,020874,B,矿冶安全评价师,孔娴,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020874-矿冶安全评价师/CN-NE-东北/35-44/N9004865-孔娴.md
N9004995,OCC-02-00002,02,0208,020874,B,矿井通风工程师,吴莹薇,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020874-矿井通风工程师/CN-N-华北/25-34/N9004995-吴莹薇.md
N1041700,OCC-02-00001,02,0208,020805,K,电力市场分析师,诸梅,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-C-华中/25-34/N1041700-诸梅.md
N1041701,OCC-02-00002,02,0208,020805,K,电力市场分析师,陆爽,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/25-34/N1041701-陆爽.md
N1041702,OCC-02-00003,02,0208,020805,K,电力市场分析师,麻翰,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/55-64/N1041702-麻翰.md
N1041703,OCC-02-00004,02,0208,020805,K,电力市场分析师,墨毅,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-N-华北/35-44/N1041703-墨毅.md
N1041704,OCC-02-00005,02,0208,020805,K,电力市场分析师,颜煌,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/35-44/N1041704-颜煌.md
N1041705,OCC-02-00006,02,0208,020805,K,电力市场分析师,水烽,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-N-华北/35-44/N1041705-水烽.md
N1041706,OCC-02-00007,02,0208,020805,K,电力市场分析师,岳云,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-N-华北/35-44/N1041706-岳云.md
N1041707,OCC-02-00008,02,0208,020805,K,电力市场分析师,臧瑾,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-NW-西北/45-54/N1041707-臧瑾.md
N1041708,OCC-02-00009,02,0208,020805,K,电力市场分析师,孟梦,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-S-华南/25-34/N1041708-孟梦.md
N1041709,OCC-02-00010,02,0208,020805,K,电力市场分析师,鱼华,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/55-64/N1041709-鱼华.md
N1041710,OCC-02-00011,02,0208,020805,K,电力交易员,阳倩,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-N-华北/25-34/N1041710-阳倩.md
N1041711,OCC-02-00012,02,0208,020805,K,电力交易员,葛茗,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/45-54/N1041711-葛茗.md
N1041712,OCC-02-00013,02,0208,020805,K,电力交易员,邹兰,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-N-华北/35-44/N1041712-邹兰.md
N1041713,OCC-02-00014,02,0208,020805,K,电力交易员,钱怡,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-NW-西北/25-34/N1041713-钱怡.md
N1041714,OCC-02-00015,02,0208,020805,K,电力交易员,卓聪,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/OV-海外/35-44/N1041714-卓聪.md
N1041715,OCC-02-00016,02,0208,020805,K,电力交易员,逯芬,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-C-华中/25-34/N1041715-逯芬.md
N1041716,OCC-02-00017,02,0208,020805,K,电力交易员,师镕,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-C-华中/35-44/N1041716-师镕.md
N1041717,OCC-02-00018,02,0208,020805,K,电力交易员,督翔,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/45-54/N1041717-督翔.md
N1041718,OCC-02-00019,02,0208,020805,K,电力交易员,五婵,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/45-54/N1041718-五婵.md
N1041719,OCC-02-00020,02,0208,020805,K,电力交易员,周君,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-C-华中/25-34/N1041719-周君.md
N1041760,OCC-02-00021,02,0208,020805,K,电力现货交易员,于芬,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/25-34/N1041760-于芬.md
N1041761,OCC-02-00022,02,0208,020805,K,电力现货交易员,乌黛,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-S-华南/25-34/N1041761-乌黛.md
N1041762,OCC-02-00023,02,0208,020805,K,电力现货交易员,能艳,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-C-华中/45-54/N1041762-能艳.md
N1041763,OCC-02-00024,02,0208,020805,K,电力现货交易员,靳煊,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/55-64/N1041763-靳煊.md
N1041764,OCC-02-00025,02,0208,020805,K,电力现货交易员,柳爱,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/35-44/N1041764-柳爱.md
N1041765,OCC-02-00026,02,0208,020805,K,电力现货交易员,祁彬,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-SW-西南/25-34/N1041765-祁彬.md
N1041766,OCC-02-00027,02,0208,020805,K,电力现货交易员,陆璟,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/25-34/N1041766-陆璟.md
N1041767,OCC-02-00028,02,0208,020805,K,电力现货交易员,南烁,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-S-华南/45-54/N1041767-南烁.md
N1041768,OCC-02-00029,02,0208,020805,K,电力现货交易员,白莲,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-C-华中/45-54/N1041768-白莲.md
N1041769,OCC-02-00030,02,0208,020805,K,电力现货交易员,郁娅,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020805-电力市场交易/CN-E-华东/45-54/N1041769-郁娅.md
N1042820,OCC-02-00031,02,0208,020805,B,矿山救援工程师,岑风,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-N-华北/25-34/N1042820-岑风.md
N1042821,OCC-02-00032,02,0208,020805,B,矿山救援工程师,仲聪,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-C-华中/35-44/N1042821-仲聪.md
N1042822,OCC-02-00033,02,0208,020805,B,矿山救援工程师,百峰,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-S-华南/35-44/N1042822-百峰.md
N1042823,OCC-02-00034,02,0208,020805,B,矿山救援工程师,胥儿,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-N-华北/25-34/N1042823-胥儿.md
N1042824,OCC-02-00035,02,0208,020805,B,矿山救援工程师,谷继,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-NW-西北/35-44/N1042824-谷继.md
N1042825,OCC-02-00036,02,0208,020805,B,矿山救援工程师,昝嘉,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-NW-西北/45-54/N1042825-昝嘉.md
N1042826,OCC-02-00037,02,0208,020805,B,矿山救援工程师,政征,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/OV-海外/55-64/N1042826-政征.md
N1042827,OCC-02-00038,02,0208,020805,B,矿山救援工程师,谷虔,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-E-华东/45-54/N1042827-谷虔.md
N1042828,OCC-02-00039,02,0208,020805,B,矿山救援工程师,湛峰,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-E-华东/35-44/N1042828-湛峰.md
N1042829,OCC-02-00040,02,0208,020805,B,矿山救援工程师,呼进,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/OV-海外/25-34/N1042829-呼进.md
N1042840,OCC-02-00041,02,0208,020805,B,矿山应急管理工程师,拓进,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-S-华南/35-44/N1042840-拓进.md
N1042841,OCC-02-00042,02,0208,020805,B,矿山应急管理工程师,司抒,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/OV-海外/25-34/N1042841-司抒.md
N1042842,OCC-02-00043,02,0208,020805,B,矿山应急管理工程师,丘淼,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-E-华东/35-44/N1042842-丘淼.md
N1042843,OCC-02-00044,02,0208,020805,B,矿山应急管理工程师,胥致,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-S-华南/45-54/N1042843-胥致.md
N1042844,OCC-02-00045,02,0208,020805,B,矿山应急管理工程师,谷讷,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-NE-东北/25-34/N1042844-谷讷.md
N1042845,OCC-02-00046,02,0208,020805,B,矿山应急管理工程师,逄戎,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-E-华东/35-44/N1042845-逄戎.md
N1042846,OCC-02-00047,02,0208,020805,B,矿山应急管理工程师,淳筠,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-SW-西南/35-44/N1042846-淳筠.md
N1042847,OCC-02-00048,02,0208,020805,B,矿山应急管理工程师,喻远,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-N-华北/25-34/N1042847-喻远.md
N1042848,OCC-02-00049,02,0208,020805,B,矿山应急管理工程师,辕淼,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-NE-东北/25-34/N1042848-辕淼.md
N1042849,OCC-02-00050,02,0208,020805,B,矿山应急管理工程师,海熠,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020805-矿山应急救援/CN-C-华中/16-24/N1042849-海熠.md
N9004992,OCC-02-00001,02,0208,020833,B,矿冶安全评价师,萧欣梅,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020833-矿冶安全评价师/CN-N-华北/16-24/N9004992-萧欣梅.md
N9004651,OCC-02-00001,02,0208,020843,B,矿冶安全评价师,廖莹,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020843-矿冶安全评价师/CN-NW-西北/25-34/N9004651-廖莹.md
N9004766,OCC-02-00001,02,0208,020861,B,矿井通风工程师,蒋珍丽,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020861-矿井通风工程师/OV-海外/35-44/N9004766-蒋珍丽.md
N1024780,OCC-02-00001,02,0208,020802,G,水泥窑操工,席瑞,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-N-华北/45-54/N1024780-席瑞.md
N1024781,OCC-02-00002,02,0208,020802,G,水泥窑操工,池高,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-N-华北/25-34/N1024781-池高.md
N1024782,OCC-02-00003,02,0208,020802,G,水泥窑操工,祝勇,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-E-华东/35-44/N1024782-祝勇.md
N1024783,OCC-02-00004,02,0208,020802,G,水泥窑操工,武深永,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-N-华北/25-34/N1024783-武深永.md
N1024784,OCC-02-00005,02,0208,020802,G,水泥窑操工,魏柳,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-N-华北/45-54/N1024784-魏柳.md
N1024785,OCC-02-00006,02,0208,020802,G,水泥窑操工,葛风,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-S-华南/45-54/N1024785-葛风.md
N1024786,OCC-02-00007,02,0208,020802,G,水泥窑操工,黄桃飞,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-S-华南/35-44/N1024786-黄桃飞.md
N1024787,OCC-02-00008,02,0208,020802,G,水泥窑操工,苑冬,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-E-华东/35-44/N1024787-苑冬.md
N1024788,OCC-02-00009,02,0208,020802,G,水泥窑操工,糜坚月,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-C-华中/35-44/N1024788-糜坚月.md
N1024789,OCC-02-00010,02,0208,020802,G,水泥窑操工,解娟,docs/财商流游戏/玩家职业设计/02-化工与新材料/02-08-建材与无机非金属材料/020802-水泥生产/CN-NW-西北/25-34/N1024789-解娟.md
N1031450,OCC-02-00011,02,0208,020802,H,家电售后技术工程师,羊舌展,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-C-华中/35-44/N1031450-羊舌展.md
N1031451,OCC-02-00012,02,0208,020802,H,家电售后技术工程师,公丘冼,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-S-华南/25-34/N1031451-公丘冼.md
N1031452,OCC-02-00013,02,0208,020802,H,家电售后技术工程师,公族拓,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-E-华东/35-44/N1031452-公族拓.md
N1031453,OCC-02-00014,02,0208,020802,H,家电售后技术工程师,公宾公,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-E-华东/25-34/N1031453-公宾公.md
N1031454,OCC-02-00015,02,0208,020802,H,家电售后技术工程师,公仪微,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-SW-西南/25-34/N1031454-公仪微.md
N1031455,OCC-02-00016,02,0208,020802,H,家电售后技术工程师,公石令,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-NE-东北/35-44/N1031455-公石令.md
N1031456,OCC-02-00017,02,0208,020802,H,家电售后技术工程师,公玉澹,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-C-华中/25-34/N1031456-公玉澹.md
N1031457,OCC-02-00018,02,0208,020802,H,家电售后技术工程师,公牵申,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-S-华南/45-54/N1031457-公牵申.md
N1031458,OCC-02-00019,02,0208,020802,H,家电售后技术工程师,公敛空,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-E-华东/35-44/N1031458-公敛空.md
N1031459,OCC-02-00020,02,0208,020802,H,家电售后技术工程师,公旅东,docs/财商流游戏/玩家职业设计/02-金属制品与通用机械/02-08-设备维修与安装/020802-家电售后服务/CN-C-华中/25-34/N1031459-公旅东.md
